Date,Value
2013-06-03,1405.53
2013-05-31,1397.52
2013-05-30,1416.55
2013-05-29,1385.5
2013-05-28,1379.49
2013-05-24,1393.26
2013-05-23,1383.5
2013-05-22,1411.54
2013-05-21,1363.71
2013-05-20,1357.7
2013-05-17,1371.73
2013-05-16,1384.0
2013-05-15,1413.05
2013-05-14,1436.84
2013-05-13,1433.83
2013-05-10,1429.58
2013-05-09,1468.64
2013-05-08,1471.15
2013-05-07,1447.36
2013-05-06,1471.15
2013-05-03,1472.4
2013-05-02,1472.4
2013-05-01,1457.87
2013-04-30,1472.15
2013-04-29,1470.64
2013-04-26,1474.65
2013-04-25,1454.12
2013-04-24,1431.58
2013-04-23,1411.04
2013-04-22,1427.57
2013-04-19,1408.54
2013-04-18,1396.77
2013-04-17,1395.02
2013-04-16,1383.0
2013-04-15,1398.02
2013-04-12,1538.76
2013-04-11,1568.31
2013-04-10,1578.33
2013-04-09,1580.58
2013-04-08,1578.33
2013-04-05,1571.32
2013-04-04,1549.78
2013-04-03,1578.08
2013-04-02,1586.84
2013-04-01,1600.26
2013-03-28,1601.62
2013-03-27,1606.38
2013-03-26,1601.37
2013-03-25,1602.62
2013-03-22,1611.13
2013-03-21,1617.14
2013-03-20,1610.88
2013-03-19,1614.14
2013-03-18,1607.13
2013-03-15,1598.86
2013-03-14,1589.35
2013-03-13,1592.6
2013-03-12,1597.36
2013-03-11,1582.33
2013-03-08,1585.09
2013-03-07,1582.84
2013-03-06,1577.33
2013-03-05,1583.09
2013-03-04,1577.58
2013-03-01,1585.59
2013-02-28,1591.85
2013-02-27,1607.63
2013-02-26,1593.85
2013-02-25,1589.6
2013-02-22,1579.83
2013-02-21,1580.33
2013-02-20,1591.85
2013-02-19,1611.13
2013-02-15,1615.64
2013-02-14,1649.45
2013-02-13,1648.45
2013-02-12,1650.95
2013-02-11,1655.46
2013-02-08,1671.74
2013-02-07,1671.49
2013-02-06,1677.75
2013-02-05,1676.99
2013-02-04,1669.48
2013-02-01,1672.49
2013-01-31,1668.23
2013-01-30,1681.0
2013-01-29,1666.98
2013-01-28,1659.97
2013-01-25,1663.47
2013-01-24,1674.49
2013-01-23,1693.78
2013-01-22,1694.02
2013-01-21,1691.02
2013-01-18,1692.02
2013-01-17,1678.5
2013-01-16,1679.75
2013-01-15,1684.01
2013-01-14,1669.98
2013-01-11,1660.97
2013-01-10,1678.5
2013-01-09,1661.22
2013-01-08,1659.47
2013-01-07,1648.7
2013-01-04,1651.45
2013-01-03,1683.01
2013-01-02,1697.28
2012-12-31,1667.48
2012-12-28,1660.97
2012-12-27,1658.96
2012-12-26,1669.48
2012-12-21,1654.96
2012-12-20,1653.96
2012-12-19,1668.48
2012-12-18,1697.53
2012-12-17,1699.28
2012-12-14,1699.78
2012-12-13,1696.28
2012-12-12,1719.82
2012-12-11,1713.56
2012-12-10,1716.06
2012-12-07,1705.04
2012-12-06,1697.78
2012-12-05,1697.53
2012-12-04,1701.29
2012-12-03,1723.57
2012-11-30,1729.58
2012-11-29,1728.58
2012-11-28,1711.55
2012-11-27,1749.87
2012-11-26,1754.13
2012-11-21,1727.58
2012-11-20,1735.84
2012-11-19,1734.09
2012-11-16,1717.06
2012-11-15,1713.56
2012-11-14,1729.33
2012-11-13,1729.83
2012-11-12,1738.85
2012-11-09,1741.86
2012-11-08,1720.57
2012-11-07,1718.82
2012-11-06,1694.52
2012-11-05,1687.01
2012-11-02,1688.51
2012-11-01,1719.82
2012-10-31,1722.57
2012-10-30,1713.56
2012-10-29,1710.55
2012-10-26,1719.57
2012-10-25,1719.07
2012-10-24,1710.05
2012-10-23,1714.56
2012-10-22,1730.34
2012-10-19,1740.6
2012-10-18,1746.61
2012-10-17,1752.62
2012-10-16,1750.12
2012-10-15,1739.6
2012-10-12,1770.4
2012-10-11,1772.66
2012-10-10,1764.89
2012-10-09,1777.67
2012-10-08,1777.16
2012-10-05,1787.68
2012-10-04,1795.45
2012-10-03,1778.92
2012-10-02,1779.17
2012-10-01,1790.69
2012-09-28,1779.67
2012-09-27,1766.65
2012-09-26,1748.37
2012-09-25,1775.16
2012-09-24,1766.15
2012-09-21,1788.18
2012-09-20,1762.14
2012-09-19,1770.4
2012-09-18,1773.16
2012-09-17,1773.66
2012-09-14,1779.17
2012-09-13,1736.85
2012-09-12,1740.6
2012-09-11,1740.35
2012-09-10,1735.59
2012-09-07,1731.59
2012-09-06,1704.54
2012-09-05,1693.52
2012-09-04,1700.53
2012-08-31,1651.95
2012-08-30,1663.97
2012-08-29,1663.47
2012-08-28,1671.49
2012-08-27,1673.49
2012-08-24,1670.48
2012-08-23,1668.73
2012-08-22,1645.44
2012-08-21,1642.94
2012-08-20,1618.4
2012-08-17,1618.15
2012-08-16,1607.88
2012-08-15,1605.12
2012-08-14,1601.12
2012-08-13,1625.91
2012-08-10,1621.9
2012-08-09,1618.4
2012-08-08,1616.64
2012-08-07,1614.39
2012-08-06,1613.39
2012-08-03,1605.37
2012-08-02,1600.36
2012-08-01,1602.37
2012-07-31,1625.41
2012-07-30,1621.15
2012-07-27,1621.65
2012-07-26,1621.4
2012-07-25,1604.37
2012-07-24,1586.59
2012-07-23,1575.57
2012-07-20,1579.58
2012-07-19,1587.34
2012-07-18,1578.58
2012-07-17,1588.59
2012-07-16,1593.1
2012-07-13,1598.86
2012-07-12,1559.55
2012-07-11,1580.33
2012-07-10,1598.61
2012-07-09,1588.34
2012-07-06,1590.35
2012-07-05,1607.38
2012-07-03,1620.9
2012-07-02,1595.36
2012-06-29,1601.87
2012-06-28,1561.8
2012-06-27,1576.82
2012-06-26,1579.33
2012-06-25,1573.32
